site_no,station_nm,dec_long_va,dec_lat_va,drain_area_va,flood_stage,flood_nu,moderate_flood_stage,moderate_flood_nu,major_flood_stage,major_flood_nu,flow_dt,flow_va,stage_dt,stage_va,peak_rank,peak_count,peak_max,peak_max_yr
"07348700","Bayou Dorcheat near Springhill, LA",-93.39656000,32.99458130,605.00,11,8,18,0,21,0,2019-05-22,2490,2019-05-22,13.29,54,60,36700,1997
"07349650","(COE) Byu Bodcau Lake nr Shreveport, LA (Landside)",-93.51045210,32.70236807,668.00,172,8,192,0,198,0,-999,-999,2019-05-20,188.93,-999,-999,-999,-999
"07350500","(COE) Red River at Coushatta",-93.35295020,32.01266134,63362.00,31,5,33,0,37,0,-999,-999,2019-05-20,31.81,-999,-999,-999,-999
"07362000","Ouachita River at Camden, AR",-92.81805560,33.59638889,5360,26,8,36,0,40,0,2019-05-24,26300,2019-05-23,30.48,79,88,243000,1945
"07367005","Ouachita River at West Monroe, LA",-92.11972220,32.50027778,15298,40,8,43,8,45,8,2019-05-23,77200,2019-05-23,45.88,3,10,88500,2009
"07369649","Tensas River South of Newlight, LA",-91.48984150,32.08932064,957.00,55,8,57,0,60,0,-999,-999,2019-05-20,55.64,-999,-999,-999,-999
"07372200","Little River near Rochelle, LA",-92.34458330,31.75433630,1899.00,32,1,38,0,42,0,2019-05-20,8170,2019-05-20,32.04,54,60,133000,2016
"07381515","Atchafalaya River at Butte La Rose, LA",-91.68677970,30.28158638,-999,20,8,25,0,28,0,-999,-999,2019-05-24,20.19,-999,-999,-999,-999
"07381600","Lower Atchafalaya River at Morgan City, LA",-91.21193680,29.69281939,-999,6,8,7,8,12,0,2019-05-23,333000,2019-05-21,8.55,5,41,512000,2011
"07386880","Vermilion River at Surrey St. at Lafayette, LA",-91.99289750,30.21742290,-999,10,7,14,0,16,0,2019-05-21,2680,2019-05-20,11.85,36,50,6280,1989
"07387040","Vermilion Bay near Cypremort Point, LA",-91.88039820,29.71326575,-999,4,2,-999,-999,-999,-999,-999,-999,2019-05-21,4.88,-999,-999,-999,-999
"08012150","Mermentau River At Mermentau, LA",-92.59055560,30.19000000,1381.00,4,8,6,0,8,0,2019-05-20,12300,2019-05-20,5.15,28,74,58000,1985
"08013000","Calcasieu River nr Glenmora, LA",-92.67361110,30.99666667,499.00,12,7,16,0,18,0,2019-05-23,4120,2019-05-23,14.13,65,74,59900,1953
"08013500","Calcasieu River near Oberlin, LA",-92.81403680,30.64047570,753.00,13,4,15,0,19,0,2019-05-22,5310,2019-05-22,14.33,72,81,72800,1953
"08014500","Ouiska Chitto Creek Near Oberlin, LA",-92.89319440,30.69875000,510.00,15,3,20,0,23,0,2019-05-22,7230,2019-05-22,17.00,54,79,144000,1953
"08014800","Bundick Creek near DeRidder, LA",-93.23016190,30.81880557,120.00,20,1,21.5,0,22.5,0,2019-05-20,8810,2019-05-20,20.72,9,36,33600,1953
"08015500","Calcasieu River near Kinder, LA",-92.91541670,30.50255556,1700,16,4,20,0,23,0,2019-05-22,16600,2019-05-22,17.65,61,81,182000,1953
"08017300","S Fk Sabine Rv nr Quinlan, TX",-96.25331180,32.89790085,78.7,15,1,18,0,20,0,2019-05-20,1150,2019-05-20,15.36,58,59,23040,1981
"08018500","Sabine Rv nr Mineola, TX",-95.48579010,32.61374667,1357,14,8,18,0,21,0,2019-05-20,6930,2019-05-20,17.20,53,71,76000,1945
"08019200","Sabine Rv nr Hawkins, TX",-95.20661400,32.55986369,2259,23,7,32,0,37,0,2019-05-20,10300,2019-05-20,27.93,13,20,42500,2015
"08020000","Sabine Rv nr Gladewater, TX",-94.96021750,32.52708909,2791,26,8,33,3,36,0,2019-05-20,14100,2019-05-20,34.48,44,88,138000,1945
"08020900","Sabine Rv bl Longview, TX",-94.70993240,32.41681793,3155,25,8,30,5,35,0,2019-05-20,21400,2019-05-20,33.62,5,22,40100,2016
"08022040","Sabine Rv nr Beckville, TX",-94.35353020,32.32737887,3589,26,8,30,1,35,0,2019-05-20,26200,2019-05-20,30.12,19,79,123000,1945
"08022500","Sabine Rv at Logansport, LA",-94.00630140,31.97238949,4842,28,8,32,0,34,0,2019-05-21,32600,2019-05-21,31.43,17,87,92000,1945
"08028000","Bayou Anacoco near Rosepine, LA",-93.35294380,30.95297038,365.00,17,3,21,0,24,0,2019-05-20,5450,2019-05-20,20.31,41,66,64300,1953
"08028500","Sabine Rv nr Bon Wier, TX",-93.60850800,30.74714557,8229,30,8,33,8,36,0,2019-05-20,50100,2019-05-20,35.44,21,95,279000,2016
"08029500","Big Cow Ck nr Newton, TX",-93.78555560,30.81888889,128,15,2,16,1,18,0,2019-05-20,5650,2019-05-20,17.17,24,67,41500,2006
"08030500","Sabine Rv nr Ruliff, TX",-93.74377840,30.30381684,9329,24,8,26,5,28,0,2019-05-23,53500,2019-05-23,26.38,28,106,206000,2016
"08030540","Sabine Rv (at Navy Pier) at Orange, TX",-93.72155440,30.09798774,-999,4,1,5,0,6,0,-999,-999,2019-05-22,4.01,-999,-999,-999,-999
"08032000","Neches Rv nr Neches, TX",-95.43078600,31.89239037,1145,12,8,18,0,24,0,2019-05-20,4660,2019-05-20,15.45,48,79,45500,1945
"08032500","Neches Rv nr Alto, TX",-95.16599650,31.57945569,1945,16,8,18,5,20,3,2019-05-20,21200,2019-05-20,22.03,8,37,50000,1884
"08033000","Neches Rv nr Diboll, TX",-94.80993060,31.13296574,2724,12,8,17,0,20,0,2019-05-24,17000,2019-05-24,15.71,27,81,110000,1884
"08033900","E Fk Angelina Rv nr Cushing, TX",-94.82326970,31.86017169,158,15,2,17,0,19,0,2019-05-20,2930,2019-05-20,16.19,19,28,19800,1988
"08036500","Angelina Rv nr Alto, TX",-94.95271520,31.67184364,1276,29,2,31,0,33,0,2019-05-21,12000,2019-05-21,29.16,17,62,42500,1989
