site_no,station_nm,dec_long_va,dec_lat_va,drain_area_va,flood_stage,flood_nu,moderate_flood_stage,moderate_flood_nu,major_flood_stage,major_flood_nu,flow_dt,flow_va,stage_dt,stage_va,peak_rank,peak_count,peak_max,peak_max_yr
"05497150","North Fabius River near Ewing, MO",-91.62210360,40.01893370,471,11,6,14,5,18,0,2019-05-23,8430,2019-05-23,15.91,9,12,19200,2015
"05498150","Middle Fabius River near Ewing, MO",-91.70571790,40.02893300,400,12,6,17,2,19.5,0,2019-05-26,7700,2019-05-26,17.82,8,12,20500,2015
"05500000","South Fabius River near Taylor, MO",-91.58016670,39.89663889,620,9.5,7,14,1,19,0,2019-05-27,13400,2019-05-27,14.97,15,85,23200,2015
"05501000","North River at Palmyra, MO",-91.54602780,39.81700000,354,13,3,16,2,22,0,2019-05-27,11400,2019-05-27,17.11,44,83,57500,1973
"05501600","Mississippi River at Hannibal, MO",-91.36237070,39.72393450,-999,16,8,22,8,24,6,-999,-999,2019-05-27,26.30,-999,-999,-999,-999
"05502300","North Fork Salt River at Hagers Grove, MO",-92.23044440,39.82988889,365,12,3,16,2,20,0,2019-05-22,9200,2019-05-22,16.86,30,44,36500,2010
"05506350","Middle Fork Salt River near Holliday, MO",-92.12775000,39.52411110,313,17,5,22,0,26,0,2019-05-24,5120,2019-05-24,18.55,13,18,31700,2008
"05514500","Cuivre River near Troy, MO",-90.97752780,39.00880556,903,21,1,25,0,29,0,2019-05-23,14100,2019-05-23,22.00,80,96,120000,1941
"05518000","KANKAKEE RIVER AT SHELBY, IN",-87.34030960,41.18281340,1779,9,8,11,0,12.5,0,2019-05-24,4140,2019-05-24,10.38,63,95,7650,1982
"05531410","SALT CREEK AT 22ND STREET AT OAK BROOK, IL",-87.93666670,41.84750000,103,54,1,56,0,58,0,-999,-999,2019-05-27,54.90,-999,-999,-999,-999
"05531500","SALT CREEK AT WESTERN SPRINGS, IL",-87.90027780,41.82583330,115,7.5,1,-999,-999,-999,-999,2019-05-27,1960,2019-05-27,8.33,12,71,3980,2013
"05540250","EAST BRANCH DU PAGE RIVER AT BOLINGBROOK, IL",-88.07055560,41.71805556,75.8,19.5,1,21,0,23,0,2019-05-27,869,2019-05-27,19.63,23,28,5070,2013
"05551540","FOX RIVER AT MONTGOMERY, IL",-88.33333330,41.73361110,1732,13,1,14,0,15,0,2019-05-27,7710,2019-05-27,13.63,9,15,18000,2008
"05558300","ILLINOIS RIVER AT HENRY, IL",-89.35611110,41.10722220,13544,23,8,24,8,31,0,2019-05-24,54200,2019-05-25,27.11,24,36,161000,2013
"05569500","SPOON RIVER AT LONDON MILLS, IL",-90.28000000,40.70777778,1072,15,7,21,0,24,0,2019-05-23,10400,2019-05-23,19.40,31,74,41000,1974
"05570000","SPOON RIVER AT SEVILLE, IL",-90.34040250,40.49004077,1636,22,5,25,2,30,0,2019-05-24,15600,2019-05-24,25.47,40,101,42500,2013
"05578500","SALT CREEK NEAR ROWELL, IL",-89.04925100,40.11503787,335,15,2,-999,-999,-999,-999,2019-05-26,897,2019-05-26,15.43,71,74,24500,1968
"05584500","LA MOINE RIVER AT COLMAR, IL",-90.89624510,40.33032166,655,20,6,22,4,24,1,2019-05-26,9730,2019-05-26,24.06,35,73,38900,1985
"05585000","LA MOINE RIVER AT RIPLEY, IL",-90.63179470,40.02477040,1293,22,2,23,2,27,0,2019-05-27,12400,2019-05-27,26.54,35,97,37200,2013
"05585500","ILLINOIS RIVER AT MEREDOSIA, IL",-90.56818200,39.82338010,26029,17,8,22,8,24,8,-999,-999,2019-05-27,26.12,-999,-999,-999,-999
"05586100","ILLINOIS RIVER AT VALLEY CITY, IL",-90.64540470,39.70338020,26743,14,8,21,8,23,5,2019-05-27,88000,2019-05-27,24.60,25,94,123000,1943
"05587060","ILLINOIS RIVER AT HARDIN, IL",-90.61539940,39.16032590,28690,25,8,31,8,32,8,-999,-999,2019-05-27,37.08,-999,-999,-999,-999
"05587450","Mississippi River at Grafton, IL",-90.42900000,38.96797220,171300,18,8,24,8,29,5,2019-05-27,441000,2019-05-27,31.49,3,32,598000,1993
"05592100","KASKASKIA RIVER NEAR COWDEN, IL",-88.84173210,39.22976440,1330,15,2,-999,-999,-999,-999,2019-05-22,8100,2019-05-22,17.40,27,47,25300,2002
"05592500","KASKASKIA RIVER AT VANDALIA, IL",-89.08895540,38.96060098,1940,18,5,24,3,26,0,2019-05-24,16700,2019-05-24,25.51,47,107,62700,1957
"05595000","KASKASKIA RIVER AT NEW ATHENS, IL",-89.88861110,38.31972220,5189,79,8,82,8,85,4,2019-05-26,14100,2019-05-27,88.61,44,58,83000,1943
"05599490","BIG MUDDY RIVER AT RTE 127 AT MURPHYSBORO, IL",-89.32777780,37.75833330,2159,22,8,28,2,36,0,2019-05-23,6220,2019-05-27,30.28,80,90,42400,2011
"06609100","Missouri River at Blair, NE",-96.09638890,41.55055556,321400,26.5,1,28.2,0,33,0,-999,-999,2019-05-27,26.52,-999,-999,-999,-999
"06805600","Missouri River at Plattsmouth, NE",-95.86667510,41.00111040,-999,26,8,32,0,35,0,-999,-999,2019-05-27,29.43,-999,-999,-999,-999
"06806500","Weeping Water Creek at Union, Nebr.",-95.91138890,40.79416667,241,25,1,28,0,30,0,2019-05-24,11300,2019-05-24,25.47,15,68,65100,1993
"06807000","Missouri River at Nebraska City, NE",-95.84694600,40.68194600,410000,18,8,23,0,27,0,2019-05-27,130000,2019-05-27,21.28,23,88,414000,1952
"06810000","Nishnabotna River above Hamburg, IA",-95.64500000,40.60166667,2806,25,2,27.5,0,33,0,2019-05-24,17800,2019-05-24,25.47,46,92,65100,1998
"06810070","Missouri River at Brownville, NE",-95.65333330,40.39888889,-999,34,8,38.5,0,43,0,-999,-999,2019-05-27,37.79,-999,-999,-999,-999
"06811500","Little Nemaha River at Auburn, Nebr.",-95.81277780,40.39277778,792,22,2,23,1,27,0,2019-05-24,27500,2019-05-24,24.60,18,68,164000,1950
"06813000","Tarkio River at Fairfax, MO",-95.40590560,40.33918330,508,17,4,18,4,25,2,2019-05-24,12500,2019-05-24,26.31,12,80,16300,1942
"06813500","Missouri River at Rulo, NE",-95.42241670,40.05363889,414900,17,8,21,6,26,0,2019-05-25,136000,2019-05-25,23.28,17,69,358000,1952
"06814000","TURKEY C NR SENECA, KS",-96.10861490,39.94777730,276,21,2,23.5,0,40,0,2019-05-24,10700,2019-05-24,23.34,22,69,21400,1973
"06815000","Big Nemaha River at Falls City, Nebr.",-95.59609570,40.03555770,1339,27,2,30,0,36,0,2019-05-24,37200,2019-05-24,28.75,21,75,71600,1973
"06817000","Nodaway River at Clarinda, IA",-95.01419440,40.74327778,762,23,2,26,2,29,0,2019-05-24,46700,2019-05-24,26.80,2,91,47900,2008
"06818000","Missouri River at St. Joseph, MO",-94.85683330,39.75325000,426500,17,8,21,7,27,0,2019-05-26,193000,2019-05-26,25.06,17,99,397000,1952
"06818300","MISSOURI R AT ATCHISON, KS",-95.11388890,39.55972220,426865.0,22,8,27,0,30,0,-999,-999,2019-05-26,26.40,-999,-999,-999,-999
"06819500","One Hundred and Two River at Maryville, MO",-94.83219440,40.34550000,515,18,1,23,0,28,0,2019-05-24,10900,2019-05-24,18.95,35,76,28000,1973
"06820475","MISSOURI R AT LEAVENWORTH, KS",-94.90950000,39.32696110,427200,20,7,24,0,30,0,-999,-999,2019-05-27,23.76,-999,-999,-999,-999
"06820500","Platte River near Agency, MO",-94.70261110,39.68802778,1760,20,7,25,5,30,0,2019-05-23,16400,2019-05-23,26.19,48,92,60800,1993
"06821150","Little Platte River at Smithville, MO",-94.57912150,39.38805536,234,27,1,30.5,0,35,0,2019-05-21,4570,2019-05-21,28.30,29,54,76600,1965
"06821190","Platte River at Sharps Station, MO",-94.72683330,39.40097220,2380,26,7,29,7,33,0,2019-05-24,16600,2019-05-24,30.39,21,39,41800,2007
"06821250","Missouri River above Parkville, MO",-94.76984170,39.19165278,-999,25,7,28,2,35,0,2019-05-27,211000,2019-05-27,29.41,1,1,132000,2017
"06847900","PRAIRIE DOG C AB KEITH SEBELIUS LAKE, KS",-100.10068750,39.76972700,590,11,1,12,1,14,0,2019-05-27,1220,2019-05-27,12.94,13,56,65500,1953
"06848500","PRAIRIE DOG C NR WOODRUFF, KS",-99.47865840,39.97870430,1007,21,1,24,0,30,0,2019-05-27,3200,2019-05-27,22.26,10,77,15000,1947
"06853020","Republican River at Guide Rock, Nebr.",-98.33083330,40.06416667,22100,12.5,1,15,0,17,0,2019-05-27,4870,2019-05-27,13.17,9,27,9860,1993
"06856600","REPUBLICAN R AT CLAY CENTER, KS",-97.12752030,39.35555150,24542,15,8,21,0,28,0,2019-05-20,12200,2019-05-20,19.57,56,102,195000,1935
"06862850","SMOKY HILL R BL SCHOENCHEN, KS",-99.29232500,38.71223475,5810,11,2,14,0,17,0,2019-05-22,3800,2019-05-22,12.26,4,35,20500,1993
"06864000","SMOKY HILL R NR RUSSELL, KS",-98.85480660,38.77667810,6965.00,18,2,20,2,38,0,2019-05-25,10500,2019-05-25,20.48,13,43,70000,1938
"06864500","SMOKY HILL R AT ELLSWORTH, KS",-98.23366840,38.72667589,7580,20,3,24,0,27,0,2019-05-26,13400,2019-05-26,20.90,25,110,61000,1938
"06866000","SMOKY HILL R AT LINDSBORG, KS",-97.66649470,38.56380659,8110.00,21,4,29,0,33.9,0,2019-05-22,6530,2019-05-22,23.99,11,44,32000,1903
"06866500","SMOKY HILL R NR MENTOR, KS",-97.57170150,38.71111520,8341.00,20,3,24,0,28,0,2019-05-22,5060,2019-05-22,21.47,33,83,32000,1903
"06869500","SALINE R AT TESCOTT, KS",-97.87393160,39.00389230,2820,25,7,29,4,32,0,2019-05-23,4730,2019-05-23,29.69,28,99,61400,1951
"06869950","MULBERRY C NR SALINA, KS",-97.66836990,38.84444760,261,24,2,26,0,27.4,0,2019-05-22,6340,2019-05-22,25.54,9,56,29900,2007
"06870200","SMOKY HILL R AT NEW CAMBRIA, KS",-97.48336390,38.86389009,11730,27,8,30,2,33.1,0,-999,-999,2019-05-23,30.67,-999,-999,-999,-999
"06871000","NF SOLOMON R AT GLADE, KS",-99.30954090,39.67306520,849,11,1,16,0,18,0,2019-05-27,2000,2019-05-27,11.38,27,65,23300,1957
"06873460","SF SOLOMON R AT WOODSTON, KS",-99.10175670,39.43973250,1502,12,1,16,0,27,0,2019-05-27,1450,2019-05-27,12.28,11,39,8710,1993
"06874000","SF SOLOMON R AT OSBORNE, KS",-98.69423950,39.42778826,2012,14,5,20,0,27,0,2019-05-24,2300,2019-05-24,15.78,33,72,81200,1951
"06876700","SALT C NR ADA, KS",-97.83698490,39.13916876,406,18,8,19,8,24,0,2019-05-24,2880,2019-05-24,20.68,14,58,16000,1961
"06876900","SOLOMON R AT NILES, KS",-97.47725130,38.96916630,6770,24,8,28,7,34,0,2019-05-25,10100,2019-05-25,29.10,20,107,178000,1951
"06877600","SMOKY HILL R AT ENTERPRISE, KS",-97.11779520,38.90638906,19260,26,8,27,7,40,0,2019-05-25,28700,2019-05-25,30.52,10,87,233000,1951
"06878000","CHAPMAN C NR CHAPMAN, KS",-97.04029220,39.03110900,300,19,7,26,0,37,0,2019-05-22,5800,2019-05-22,21.52,18,65,46700,1951
"06878600","LYON C NR JUNCTION CITY, KS",-96.85805560,38.94916667,258.00,21,2,35,0,39,0,2019-05-22,6650,2019-05-22,23.42,1,7,5957,2015
"06879820","KANSAS R AT MANHATTAN, KS",-96.55472450,39.17471940,45288,18,4,26,0,42,0,-999,-999,2019-05-26,19.29,-999,-999,-999,-999
"06882000","Big Blue River at Barneston, Nebr.",-96.58722220,40.04472220,4447,20,2,27,0,33,0,2019-05-24,21000,2019-05-24,23.28,26,97,57700,1941
"06883000","Little Blue River near Deweese, Nebr.",-98.06694440,40.33250000,984,10,1,16,0,17,0,2019-05-27,8270,2019-05-27,14.36,10,65,25100,1969
"06883530","Little Blue River at County Line nr Deshler, Nebr.",-97.82094050,40.21503444,-999,18,1,22,0,25,0,2019-05-25,960,2019-05-27,18.10,-9,1,3540,2017
"06884200","MILL C AT WASHINGTON, KS",-97.03752670,39.81361476,344,18,2,19,2,35,0,2019-05-25,6740,2019-05-25,22.42,18,59,14600,1993
"06884400","L BLUE R NR BARNES, KS",-96.80474320,39.72583518,3351,16,3,23,0,39,0,2019-05-25,14700,2019-05-25,17.05,23,60,56000,2015
"06884700","BIG BLUE R AT BLUE RAPIDS, KS",-96.64001620,39.68722250,8342,26,8,52,6,68,0,-999,-999,2019-05-27,58.37,-999,-999,-999,-999
"06885500","BLACK VERMILLION R NR FRANKFORT, KS",-96.44278880,39.68194349,410,19,8,27.5,0,40.5,0,-999,-999,2019-05-27,26.45,-999,-999,-999,-999
"06886500","FANCY C AT WINKLER, KS",-96.83223570,39.47222064,174.00,16,7,24,7,40,0,-999,-999,2019-05-27,31.07,-999,-999,-999,-999
"06888500","MILL C NR PAXICO, KS",-96.16916050,39.06472106,318,21,2,31,0,33,0,2019-05-26,22100,2019-05-26,27.64,14,65,77200,1951
"06891000","KANSAS R AT LECOMPTON, KS",-95.38636330,39.05111157,58460,17,4,23.8,0,38,0,2019-05-21,75200,2019-05-21,17.65,33,104,483000,1951
"06891080","KANSAS R AT LAWRENCE, KS",-95.23211110,38.97327778,58500,18,4,20,0,29,0,2019-05-22,71300,2019-05-22,18.79,3,5,92600,2016
"06891200","WAKARUSA R AT WAKARUSA, KS",-95.69694440,38.88166667,123.00,15,1,22,0,24,0,-999,-999,2019-05-21,16.46,-999,-999,-999,-999
"06891850","STRANGER C AT EASTON, KS",-95.10885650,39.34638770,216,17,5,18,5,23,0,2019-05-22,6220,2019-05-22,20.31,3,3,10213,2016
"06892000","STRANGER C NR TONGANOXIE, KS",-95.01080060,39.11639120,406,23,3,30,0,35,0,2019-05-21,6770,2019-05-21,23.28,42,89,40000,2001
"06892950","KANSAS R AT KANSAS CITY, KS",-94.60912320,39.09000450,60098,33,6,54,0,55,0,-999,-999,2019-05-22,36.30,-999,-999,-999,-999
"06893000","Missouri River at Kansas City, MO",-94.58813890,39.11172220,484100,32,1,35,0,49,0,2019-05-27,248000,2019-05-27,32.64,15,91,625000,1844
"06893390","INDIAN C AT STATE LINE RD, LEAWOOD, KS",-94.60777780,38.93833330,64.17,20,3,24,0,27,0,2019-05-24,9280,2019-05-24,21.87,10,14,23573,2017
"06893820","Little Blue R. at Lees Summit Rd in Independence",-94.38727780,39.01736110,98.2,21,1,26,0,28,0,2019-05-21,3830,2019-05-21,21.52,3,6,8120,2017
"06894000","Little Blue River near Lake City, MO",-94.30050380,39.10056090,184,18,3,25,0,27,0,2019-05-21,7880,2019-05-21,20.67,17,70,42300,1982
"06894650","Missouri River at Napoleon, MO",-94.06327860,39.13750825,485100,17,8,25,7,30,0,2019-05-22,277000,2019-05-22,28.18,1,2,276000,2016
"06895000","Crooked River near Richmond, MO",-93.98000000,39.33266389,159,20,5,21,4,29,0,2019-05-22,6140,2019-05-22,25.93,9,37,29000,1965
"06895500","Missouri River at Waverly, MO",-93.51521180,39.21501940,485900,20,8,29,6,31,2,2019-05-23,290000,2019-05-22,31.25,8,88,633000,1993
"06896000","Wakenda Creek at Carrollton, MO",-93.48553610,39.34325000,256,16,8,19,3,21,0,2019-05-22,6530,2019-05-22,20.09,15,52,13100,1986
"06896900","Grand River near Pattonsburg, MO",-94.12722220,40.02611110,1720,25,5,30,0,32,0,2019-05-26,28000,2019-05-26,29.78,3,3,40100,2017
"06897500","Grand River near Gallatin, MO",-93.94272250,39.92695170,2250,26,5,33,0,39,0,2019-05-27,35100,2019-05-27,29.92,32,97,89800,1993
"06899500","Thompson River at Trenton, MO",-93.63802780,40.06930556,1720,27,2,31,0,34,0,2019-05-26,48200,2019-05-26,30.83,15,93,95000,1947
"06899680","Grand River at Chillicothe, MO",-93.55882440,39.75585035,4890,24,7,28,6,35,1,-999,-999,2019-05-27,35.83,-999,-999,-999,-999
"06902000","Grand River near Sumner, MO",-93.27369440,39.64002778,6880,26,8,28,8,40,0,2019-05-27,99400,2019-05-27,39.47,11,97,180000,1947
"06904500","Chariton River at Novinger, MO",-92.68638890,40.23433330,1370,20,2,23,1,26,0,2019-05-26,23300,2019-05-26,24.06,7,95,38800,2010
"06905500","Chariton River near Prairie Hill, MO",-92.79075000,39.53994444,1870,15,6,19,4,21,2,2019-05-27,37800,2019-05-27,23.20,2,89,38400,2008
"06906500","Missouri River at Glasgow, MO",-92.84879800,39.22225120,498900,25,8,27,8,32,6,2019-05-27,358000,2019-05-27,36.45,1,17,322000,2007
"06906800","Lamine River near Otterville, MO",-92.97883330,38.70225000,543,15,3,18,3,26,0,2019-05-22,19900,2019-05-22,21.18,23,30,84900,1995
"06907700","Blackwater River at Valley City, MO",-93.62215880,38.87001315,547,22,6,25,4,31,2,2019-05-22,22200,2019-05-22,32.15,13,29,66500,1960
"06908000","Blackwater River at Blue Lick, MO",-93.19687130,38.99224236,1120,24,7,29,7,37,0,2019-05-25,14100,2019-05-25,33.87,40,92,54000,1928
"06909000","Missouri River at Boonville, MO",-92.74546380,38.98030600,500700,21,8,35,0,36,0,2019-05-25,375000,2019-05-25,32.35,8,94,755000,1993
"06909500","Moniteau Creek near Fayette, MO",-92.56722220,39.12083330,75.1,16,2,21,0,25,0,2019-05-21,2690,2019-05-21,18.02,36,60,13700,1973
"06909950","Petite Saline Creek at Hwy U nr Boonville, M0",-92.70416670,38.91722220,136,16,3,19.5,3,26,0,2019-05-22,3600,2019-05-22,20.46,8,11,7950,2017
"06910450","Missouri River at Jefferson City, MO",-92.17863890,38.58711110,507500,23,8,25,7,30,5,2019-05-27,368000,2019-05-27,31.89,1,3,293000,2015
"06910750","Moreau River near Jefferson City, MO",-92.19202780,38.52902778,561,17,3,25,0,29,0,2019-05-23,9930,2019-05-23,20.47,41,58,33000,1985
"06910800","MARAIS DES CYGNES R NR READING, KS",-95.96165700,38.56695524,177,19,2,21,2,45,0,2019-05-21,4830,2019-05-21,22.17,33,49,67400,1982
"06911490","SALT C AT LYNDON, KS",-95.68470680,38.60139907,97.8,10,1,16,0,24,0,2019-05-21,5460,2019-05-21,11.93,5,18,16400,2007
"06911900","DRAGOON C NR BURLINGAME, KS",-95.83832050,38.70917370,114,19,1,-999,-999,-999,-999,2019-05-21,6140,2019-05-21,19.89,22,58,25000,2007
"06913000","MARAIS DES CYGNES R NR POMONA, KS",-95.45359020,38.58417770,1040,20,5,30,0,50,0,2019-05-22,18400,2019-05-22,29.31,11,64,69400,1928
"06913500","MARAIS DES CYGNES R NR OTTAWA, KS",-95.26830710,38.61806669,1250,31,3,33,3,45,0,2019-05-22,19100,2019-05-22,34.20,21,110,142000,1951
"06914000","POTTAWATOMIE C NR GARNETT, KS",-95.24886340,38.33363100,334.00,26,5,32,0,34,0,2019-05-21,21700,2019-05-21,30.92,13,63,57000,1961
"06914500","POTTAWATOMIE C AT LANE, KS",-95.08413600,38.44390570,513.00,23,5,24,4,28.5,0,2019-05-22,24300,2019-05-22,27.44,7,28,75000,1961
"06915800","MARAIS DES CYGNES R AT LA CYGNE, KS",-94.77245910,38.34529858,2669,25,8,30,7,36,0,2019-05-23,36700,2019-05-23,33.18,8,33,131000,2007
"06916600","MARAIS DES CYGNES R NR KS-MO ST LINE, KS",-94.61301130,38.21863670,3250,27,7,29,7,40,0,2019-05-26,51500,2019-05-26,38.55,4,59,137000,2007
"06917000","L OSAGE R AT FULTON, KS",-94.70412640,38.00892428,314,22,5,25,3,30,0,2019-05-22,19200,2019-05-22,28.96,6,69,62800,1986
"06917060","Little Osage River at Horton, MO",-94.36930560,37.99480556,498,41,7,45,6,50,0,2019-05-23,18200,2019-05-23,49.03,2,18,48400,2007
"06917500","MARMATON R NR FORT SCOTT, KS",-94.70273920,37.84892900,388,38,4,42,2,43,2,2019-05-21,22500,2019-05-21,43.45,14,59,38100,1961
"06917560","Marmaton River near Richards, MO",-94.58222220,37.86472220,455,25,7,-999,-999,-999,-999,2019-05-22,15100,2019-05-22,30.00,2,12,38700,2007
"06918060","Marmaton River near Nevada, MO",-94.39925000,37.86202778,1074,20,7,26,6,31,0,2019-05-23,24300,2019-05-23,29.74,2,14,34900,2007
"06918070","Osage River above Schell City, MO",-94.14541670,38.05586110,5410,30,7,35,5,45,0,-999,-999,2019-05-27,44.17,-999,-999,-999,-999
"06918250","Osage River at Taberville, MO",-93.99472220,38.00388889,5670,23,8,34,6,46,0,2019-05-27,60800,2019-05-27,44.14,1,6,53200,2017
"06918440","Sac River near Dadeville, MO",-93.68488890,37.44313889,257,14,7,18,3,25,0,2019-05-23,31800,2019-05-23,24.81,2,53,36100,1993
"06918460","Turnback Creek above Greenfield, MO",-93.80202780,37.40236110,252,15,6,20,1,25,0,2019-05-23,28500,2019-05-23,23.69,4,52,42700,1993
"06918493","South Fork Dry Sac River near Springfield, MO",-93.24947220,37.26638889,13.7,6,2,10,0,15,0,2019-05-21,2380,2019-05-21,8.71,4,21,3626,2011
"06918740","Little Sac River near Morrisville, MO",-93.48563890,37.48286110,237,14,4,17,4,25,0,2019-05-23,23700,2019-05-23,22.31,4,49,33700,2007
"06919500","Cedar Creek near Pleasant View, MO",-93.87549180,37.83420277,420,21,5,23,4,28,0,2019-05-24,23500,2019-05-24,25.26,9,75,37000,1958
"06919900","Sac River near Caplinger Mills, MO",-93.80316670,37.86983330,1810,16,7,19,7,28,0,2019-05-22,28800,2019-05-22,27.57,8,43,61500,1994
"06920520","Weaubleau Creek near Weaubleau, MO",-93.51476110,37.89549167,37.8,8,1,15,0,-999,-999,2019-05-21,3980,2019-05-21,9.87,6,6,14600,2015
"06921070","Pomme de Terre River near Polk, MO",-93.37033330,37.68266667,276,17,4,21,0,27,0,2019-05-21,16500,2019-05-21,19.64,17,49,38200,2015
"06921200","Lindley Creek near Polk, MO",-93.26619440,37.75047220,112,17,2,-999,-999,-999,-999,2019-05-21,15600,2019-05-21,19.74,12,62,38460,1914
"06921600","South Grand River at Urich, MO",-94.00438590,38.45223976,670,24,6,26,5,33,0,2019-05-22,23300,2019-05-22,29.36,3,13,29200,1961
"06921720","Big Creek near Blairstown, MO",-93.96535280,38.55497778,414,20,8,23,6,36,0,2019-05-22,13200,2019-05-22,26.24,6,35,24400,1961
"06923250","Niangua River at Windyville, MO",-92.92434950,37.68420670,377,12,4,20,0,-999,-999,2019-05-24,14700,2019-05-24,15.77,9,16,58800,2015
"06923500","Bennett Spring at Bennett Springs, MO",-92.85757220,37.71714720,100,5,1,-999,-999,-999,-999,2019-05-23,1720,2019-05-23,5.08,26,54,12600,1990
"06923940","Niangua River ab Lake Niangua nr Macks Creek, MO",-92.89805560,37.86333330,522,15,3,-999,-999,-999,-999,2019-05-22,17600,2019-05-22,16.21,6,9,49500,2015
"06923950","Niangua River at Tunnel Dam near Macks Creek, MO",-92.85136110,37.93694444,598,11,4,-999,-999,-999,-999,2019-05-23,16000,2019-05-23,13.63,8,22,59200,2015
"06928000","Gasconade River near Hazelgreen, MO",-92.45183830,37.75920725,1250,21,1,26,0,30,0,2019-05-22,35700,2019-05-22,22.48,28,73,119000,2017
"06928300","Roubidoux Creek above Fort Leonard Wood, MO",-92.23380560,37.60108330,165,11,1,14,1,18,0,2019-05-21,14600,2019-05-21,16.41,6,17,31800,2008
"06928420","Roubidoux Creek at Polla Rd bl Ft. Leonard Wood",-92.18333330,37.79194444,273,7,2,14,0,20,0,2019-05-21,10500,2019-05-21,10.01,7,9,38600,2013
"06930000","Big Piney River near Big Piney, MO",-92.04991670,37.66563889,560,8.5,3,-999,-999,-999,-999,2019-05-22,14300,2019-05-22,14.96,42,88,90200,2017
"06930060","Big Piney below Fort Leonard Wood, MO",-92.05797220,37.76025000,593,8,3,15,0,23,0,2019-05-22,14700,2019-05-22,13.98,11,17,93500,2017
"06933500","Gasconade River at Jerome, MO",-91.97733330,37.92991667,2840,15,3,25,0,30,0,2019-05-24,38700,2019-05-24,17.60,41,99,197000,2017
"06934500","Missouri River at Hermann, MO",-91.43850000,38.70980556,522500,21,8,26,7,33,0,2019-05-26,409000,2019-05-26,32.53,18,90,750000,1993
"06935450","Missouri River at Washington, MO",-91.00750000,38.55972220,523200,20,7,28,3,31,0,2019-05-26,428000,2019-05-26,28.68,3,8,520000,2017
"06935965","Missouri River at St. Charles, MO",-90.47072220,38.78886110,524000,25,8,30,5,36,0,2019-05-27,400000,2019-05-27,33.91,4,17,515000,2017
"07010000","Mississippi River at St. Louis, MO",-90.17977780,38.62900000,697000,30,8,35,8,40,4,2019-05-27,825000,2019-05-27,42.12,13,157,1080000,1993
"07014500","Meramec River near Sullivan, MO",-91.10847220,38.15852778,1475,11,1,20,0,29,0,2019-05-22,10500,2019-05-22,11.08,75,87,95300,2017
"07018500","Big River at Byrnesville, MO",-90.63780560,38.39172220,917,16,1,20,0,28,0,2019-05-23,9810,2019-05-23,16.62,81,96,80000,1915
"07019130","Meramec River at Valley Park, MO",-90.48502780,38.54661110,3850,16,5,19,4,25,0,-999,-999,2019-05-27,20.23,-999,-999,-999,-999
"07019210","Meramec River at Fenton, MO",-90.43138890,38.51222220,3880,25,5,29,0,32,0,-999,-999,2019-05-27,28.65,-999,-999,-999,-999
"07019300","Meramec River at Arnold, MO",-90.36067350,38.45672030,3950,24,8,35,5,38,1,-999,-999,2019-05-27,38.31,-999,-999,-999,-999
"07020500","Mississippi River at Chester, IL",-89.83021110,37.90074167,708600,27,8,35,8,40,4,2019-05-27,855000,2019-05-27,43.24,11,93,1060000,1927
"07020850","Mississippi River at Cape Girardeau, MO",-89.51800000,37.30188889,-999,32,8,37,8,42,2,-999,-999,2019-05-27,43.25,-999,-999,-999,-999
"07022000","Mississippi River at Thebes, IL",-89.46297500,37.22160000,713200,33,8,37,8,42,0,2019-05-27,773000,2019-05-27,41.06,16,86,1075000,1844
"07050690","Pearson Creek near Springfield, MO",-93.19838890,37.17794444,21.0,6,1,9,1,11,0,2019-05-21,3480,2019-05-21,9.66,1,18,2980,2008
"07050700","James River near Springfield, MO",-93.20338890,37.14997220,246,12,2,15,2,20,0,2019-05-21,10300,2019-05-21,15.58,43,63,62000,1909
"07052100","Wilson Creek near Springfield, MO",-93.37027780,37.16852778,31.4,7,2,12,0,-999,-999,2019-05-23,4100,2019-05-23,9.09,7,29,6710,2015
"07052120","South Creek near Springfield, MO",-93.36277780,37.15363889,10.5,5,1,8.6,0,-999,-999,2019-05-21,1670,2019-05-21,6.05,4,18,2870,2000
"07052152","Wilson Creek near Brookline, MO",-93.37547220,37.14713889,51,10,2,-999,-999,-999,-999,2019-05-23,3300,2019-05-23,10.43,8,16,9530,2008
"07052160","Wilson Creek near Battlefield, MO",-93.40386110,37.11775000,58.3,7,3,17,0,-999,-999,2019-05-23,4600,2019-05-23,10.78,5,17,7240,1979
"07052500","James River at Galena, MO",-93.46158330,36.80538889,987,15,2,25,0,31,0,2019-05-22,25600,2019-05-22,17.78,41,96,85100,2008
"07052820","Flat Creek below Jenkins, MO",-93.61852640,36.75061750,274,7,3,12,2,-999,-999,2019-05-21,8320,2019-05-21,13.35,7,11,35500,2017
"07061500","Black River near Annapolis, MO",-90.78875000,37.33813889,484,8,2,15,0,25,0,2019-05-22,11300,2019-05-22,11.41,62,79,109000,1993
"07066510","Current River above Powder Mill, MO",-91.17766390,37.18561389,1340,8,3,25,0,40,0,-999,-999,2019-05-22,10.70,-999,-999,-999,-999
"07069000","Black River at Pocahontas, AR",-90.97027780,36.25416667,4840,17,6,22,0,25,0,2019-05-27,17500,2019-05-27,19.44,51,83,105000,2017
"07072500","Black River at Black Rock, AR",-91.09777780,36.10250000,7370,14,8,25,0,28,0,2019-05-23,25900,2019-05-23,20.81,92,113,190000,1982
